duck,comfort_coding,comfort_math,major,language,fake_score
3,1,1,bio_or_health,Python,0.93
9,3,2,bio_or_health,Python,0.41
5,3,2,econ,Python,0.71
4,2,3,bio_or_health,R,0.97
2,3,3,other,R,0.4
1,2,4,bio_or_health,Python,0.78
5,4,4,econ,R,0.83
1,2,3,econ,R,0.73
8,3,4,cogsci,R,0.26
5,1,3,cogsci,Python,0.08
6,3,3,other,Python,0.18
8,5,4,econ,Python,0.01
1,4,3,econ,R,0.91
6,4,2,other,R,0.7
7,3,3,other,Python,0.1
4,2,1,cogsci,Python,0.51
